Date,Open,High,Low,Close,Volume,5-Day_Moving_Avg,10-Day_Moving_Avg,20-Day_Moving_Avg,Future_Close_Indicator,Volume_Ranking,Price_Movement,Day,open_lag_1,open_lag_2,open_lag_3,close_lag_1,close_lag_2,close_lag_3,high_lag_1,high_lag_2,high_lag_3,low_lag_1,low_lag_2,low_lag_3,volume_lag_1,volume_lag_2,volume_lag_3,volume_ranking_lag_1,volume_ranking_lag_2,volume_ranking_lag_3,5-moving_avg_lag_1,5-moving_avg_lag_2,5-moving_avg_lag_3,10-moving_avg_lag_1,10-moving_avg_lag_2,10-moving_avg_lag_3,20-moving_avg_lag_1,20-moving_avg_lag_2,20-moving_avg_lag_3,target_open_1,target_close_1,target_high_1,target_low_1,target_volume_1
2022-12-19,133.70396884953303,133.7930286341792,129.95341639612556,130.9924774169922,79592600,135.2254753112793,135.2254753112793,135.2254753112793,0,2,-3.8396122380536326,4,135.2675358827307,139.64152444169375,143.83744108147044,133.11021423339844,135.07949829101562,141.71971130371094,136.2175371723463,140.3243462996039,145.1338063290708,132.33833252308642,134.61438818780138,139.69104132922158,160156900.0,98931900.0,82291200.0,3.0,3.0,3.0,136.636474609375,138.39960479736328,141.71971130371094,136.636474609375,138.39960479736328,141.71971130371094,136.636474609375,138.39960479736328,141.71971130371094,130.0227144085374,130.92324829101562,131.86335927711863,128.53832387258487,77432800.0
2022-12-20,130.0227144085374,131.86335927711863,128.53832387258487,130.92324829101562,77432800,134.36502990722656,134.36502990722656,134.36502990722656,0,2,3.3250354045337644,5,133.70396884953303,135.2675358827307,139.64152444169375,130.9924774169922,133.11021423339844,135.07949829101562,133.7930286341792,136.2175371723463,140.3243462996039,129.95341639612556,132.33833252308642,134.61438818780138,79592600.0,160156900.0,98931900.0,2.0,3.0,3.0,135.2254753112793,136.636474609375,138.39960479736328,135.2254753112793,136.636474609375,138.39960479736328,135.2254753112793,136.636474609375,138.39960479736328,131.5961386519474,134.04043579101562,135.3862835473447,131.36853637624424,85928000.0
2022-12-21,131.5961386519474,135.3862835473447,131.36853637624424,134.04043579101562,85928000,132.8291748046875,134.31093088785806,134.31093088785806,0,3,4.017747171100467,6,130.0227144085374,133.70396884953303,135.2675358827307,130.92324829101562,130.9924774169922,133.11021423339844,131.86335927711863,133.7930286341792,136.2175371723463,128.53832387258487,129.95341639612556,132.33833252308642,77432800.0,79592600.0,160156900.0,2.0,2.0,3.0,134.36502990722656,135.2254753112793,136.636474609375,134.36502990722656,135.2254753112793,136.636474609375,134.36502990722656,135.2254753112793,136.636474609375,132.95190683998158,130.8539581298828,133.15971304098187,128.9440497206892,77852100.0
2022-12-22,132.95190683998158,133.15971304098187,128.9440497206892,130.8539581298828,77852100,131.98406677246095,133.81707763671875,133.81707763671875,0,2,-4.215663320292663,7,131.5961386519474,130.0227144085374,133.70396884953303,134.04043579101562,130.92324829101562,130.9924774169922,135.3862835473447,131.86335927711863,133.7930286341792,131.36853637624424,128.53832387258487,129.95341639612556,85928000.0,77432800.0,79592600.0,3.0,2.0,2.0,132.8291748046875,134.36502990722656,135.2254753112793,134.31093088785806,134.36502990722656,135.2254753112793,134.31093088785806,134.36502990722656,135.2254753112793,129.55760300943464,130.48782348632812,131.0419935321367,128.290924304729,63814900.0
2022-12-23,129.55760300943464,131.0419935321367,128.290924304729,130.48782348632812,63814900,131.45958862304687,133.40092086791992,133.40092086791992,0,1,2.7510692274076973,8,132.95190683998158,131.5961386519474,130.0227144085374,130.8539581298828,134.04043579101562,130.92324829101562,133.15971304098187,135.3862835473447,131.86335927711863,128.9440497206892,131.36853637624424,128.53832387258487,77852100.0,85928000.0,77432800.0,2.0,3.0,2.0,131.98406677246095,132.8291748046875,134.36502990722656,133.81707763671875,134.31093088785806,134.36502990722656,133.81707763671875,134.31093088785806,134.36502990722656,130.01280671088563,128.67684936523438,130.04249330967795,127.38048421797244,69007800.0
2022-12-27,130.01280671088563,130.04249330967795,127.38048421797244,128.67684936523438,69007800,130.9964630126953,132.8760240342882,132.8760240342882,0,2,-2.6620090917055137,9,129.55760300943464,132.95190683998158,131.5961386519474,130.48782348632812,130.8539581298828,134.04043579101562,131.0419935321367,133.15971304098187,135.3862835473447,128.290924304729,128.9440497206892,131.36853637624424,63814900.0,77852100.0,85928000.0,1.0,2.0,3.0,131.45958862304687,131.98406677246095,132.8291748046875,133.40092086791992,133.81707763671875,134.31093088785806,133.40092086791992,133.81707763671875,134.31093088785806,128.3205924980965,124.7283706665039,129.66644031626882,124.56014157673225,85438400.0
2022-12-28,128.3205924980965,129.66644031626882,124.56014157673225,124.7283706665039,85438400,129.75748748779296,132.06125869750977,132.06125869750977,0,3,-5.1062987395365695,10,130.01280671088563,129.55760300943464,132.95190683998158,128.67684936523438,130.48782348632812,130.8539581298828,130.04249330967795,131.0419935321367,133.15971304098187,127.38048421797244,128.290924304729,128.9440497206892,69007800.0,63814900.0,77852100.0,2.0,1.0,2.0,130.9964630126953,131.45958862304687,131.98406677246095,132.8760240342882,133.40092086791992,133.81707763671875,132.8760240342882,133.40092086791992,133.81707763671875,126.6580710085752,128.26121520996094,129.12215673015015,126.40078213242634,75703700.0
2022-12-29,126.6580710085752,129.12215673015015,126.40078213242634,128.26121520996094,75703700,128.60164337158204,130.71540908813478,131.7158001986417,1,2,2.721374597723809,11,128.3205924980965,130.01280671088563,129.55760300943464,124.7283706665039,128.67684936523438,130.48782348632812,129.66644031626882,130.04249330967795,131.0419935321367,124.56014157673225,127.38048421797244,128.290924304729,85438400.0,69007800.0,63814900.0,3.0,2.0,1.0,129.75748748779296,130.9964630126953,131.45958862304687,132.06125869750977,132.8760240342882,133.40092086791992,132.06125869750977,132.8760240342882,133.40092086791992,127.07372463723176,128.57789611816406,128.5976922192292,126.10391953505118,77034200.0
2022-12-30,127.07372463723176,128.5976922192292,126.10391953505118,128.57789611816406,77034200,128.14643096923828,130.06524887084962,131.4543081919352,1,2,2.493772684178026,12,126.6580710085752,128.3205924980965,130.01280671088563,128.26121520996094,124.7283706665039,128.67684936523438,129.12215673015015,129.66644031626882,130.04249330967795,126.40078213242634,124.56014157673225,127.38048421797244,75703700.0,85438400.0,69007800.0,2.0,3.0,2.0,128.60164337158204,129.75748748779296,130.9964630126953,130.71540908813478,132.06125869750977,132.8760240342882,131.7158001986417,132.06125869750977,132.8760240342882,128.9242524939217,123.76847076416016,129.53779569151328,122.87783501765625,112117500.0
2023-01-03,128.9242524939217,129.53779569151328,122.87783501765625,123.76847076416016,112117500,126.80256042480468,129.13107452392578,130.86308992826022,1,3,-6.659960673857029,13,127.07372463723176,126.6580710085752,128.3205924980965,128.57789611816406,128.26121520996094,124.7283706665039,128.5976922192292,129.12215673015015,129.66644031626882,126.10391953505118,126.40078213242634,124.56014157673225,77034200.0,75703700.0,85438400.0,2.0,2.0,3.0,128.14643096923828,128.60164337158204,129.75748748779296,130.06524887084962,130.71540908813478,132.06125869750977,131.4543081919352,131.7158001986417,132.06125869750977,125.56952732872513,125.0450439453125,127.32111217332934,123.77836538537261,89113600.0
